Watch_Date,title_of_movie,Release_Year,link_of_movie,my_rating,movie_id,average_rating,genre_of_movie,Director,Actors,Country,Language,Runtime_minutes,Watched_number
2022-05-16,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,2.5,boxd.it,2.97,"['Fantasy', 'Action', 'Adventure']",Sam Raimi,[],[],[],126.0,
2022-05-16,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,,boxd.it,,[],,[],[],[],,
2022-05-16,American Psycho,2000,https://boxd.it/28Vs,4.0,boxd.it,,[],,[],[],[],,
2022-05-16,Doctor Strange,2016,https://boxd.it/8MH8,,boxd.it,,[],,[],[],[],,
2022-05-16,Fight Club,1999,https://boxd.it/2a9q,4.5,boxd.it,,[],,[],[],[],,
2022-05-16,Parasite,2019,https://boxd.it/hTha,4.5,boxd.it,,[],,[],[],[],,
2022-05-16,Requiem for a Dream,2000,https://boxd.it/29VI,4.5,boxd.it,,[],,[],[],[],,
2022-05-16,Black Swan,2010,https://boxd.it/Sw0,4.5,boxd.it,,[],,[],[],[],,
2022-05-16,K-PAX,2001,https://boxd.it/2aYo,4.0,boxd.it,,[],,[],[],[],,
2022-05-16,Interstellar,2014,https://boxd.it/4VZ8,4.0,boxd.it,,[],,[],[],[],,
2022-05-16,Thor: Ragnarok,2017,https://boxd.it/8MHi,,boxd.it,,[],,[],[],[],,
2022-05-16,Good Will Hunting,1997,https://boxd.it/2ahY,3.5,boxd.it,,[],,[],[],[],,
2022-05-16,The Departed,2006,https://boxd.it/28MA,4.0,boxd.it,,[],,[],[],[],,
2022-05-16,The Adjustment Bureau,2011,https://boxd.it/16T8,2.5,boxd.it,,[],,[],[],[],,
2022-05-16,The Dark Knight,2008,https://boxd.it/2b0k,4.0,boxd.it,,[],,[],[],[],,
2022-05-16,Eyes Wide Shut,1999,https://boxd.it/2axs,5.0,boxd.it,,[],,[],[],[],,
2022-05-16,Full Metal Jacket,1987,https://boxd.it/2a1Q,4.0,boxd.it,,[],,[],[],[],,
2022-05-16,Barry Lyndon,1975,https://boxd.it/25A2,,boxd.it,,[],,[],[],[],,
2022-05-16,Dead Poets Society,1989,https://boxd.it/2aSg,5.0,boxd.it,,[],,[],[],[],,
2022-05-16,The Breakfast Club,1985,https://boxd.it/27q4,3.5,boxd.it,,[],,[],[],[],,
2022-05-16,Joker,2019,https://boxd.it/h4cS,3.5,boxd.it,,[],,[],[],[],,
2022-05-16,Avengers: Infinity War,2018,https://boxd.it/9vEe,,boxd.it,,[],,[],[],[],,
2022-05-16,Avengers: Endgame,2019,https://boxd.it/9vE4,,boxd.it,,[],,[],[],[],,
2022-05-16,Se7en,1995,https://boxd.it/29zs,4.5,boxd.it,,[],,[],[],[],,
2022-05-16,The Social Network,2010,https://boxd.it/17ue,3.5,boxd.it,,[],,[],[],[],,
2022-05-16,No Country for Old Men,2007,https://boxd.it/21ew,4.5,boxd.it,,[],,[],[],[],,
2022-05-16,Nightcrawler,2014,https://boxd.it/780m,4.0,boxd.it,,[],,[],[],[],,
2022-05-16,Nocturnal Animals,2016,https://boxd.it/bkFu,4.0,boxd.it,,[],,[],[],[],,
2022-05-16,Memento,2000,https://boxd.it/2bcK,4.0,boxd.it,,[],,[],[],[],,
2022-05-18,The Handmaiden,2016,https://boxd.it/948A,4.5,boxd.it,,[],,[],[],[],,
2022-05-18,21,2008,https://boxd.it/20BO,3.0,boxd.it,,[],,[],[],[],,
2022-05-18,Whiplash,2014,https://boxd.it/7bQA,3.5,boxd.it,,[],,[],[],[],,
2022-05-18,Batman Begins,2005,https://boxd.it/2aIg,3.5,boxd.it,,[],,[],[],[],,
2022-05-18,The Dark Knight Rises,2012,https://boxd.it/H3m,3.5,boxd.it,,[],,[],[],[],,
2022-05-18,Django Unchained,2012,https://boxd.it/2cCk,3.5,boxd.it,,[],,[],[],[],,
2022-05-18,Spider-Man 3,2007,https://boxd.it/2a7Y,2.5,boxd.it,,[],,[],[],[],,
2022-05-18,The Shining,1980,https://boxd.it/29Nu,4.5,boxd.it,,[],,[],[],[],,
2022-05-18,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,3.0,boxd.it,,[],,[],[],[],,
2022-05-18,Persona,1966,https://boxd.it/29B4,5.0,boxd.it,,[],,[],[],[],,
